City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Necochea,AR,2022-03-26 20:01:02,-38.5473,-58.7368,63.27,88,99,17.45
172,Henties Bay,NA,2022-03-26 20:01:03,-22.116,14.2845,64.36,82,0,5.66
173,Kruisfontein,ZA,2022-03-26 20:01:04,-34.0033,24.7314,63.88,88,79,3.53
174,Manjacaze,MZ,2022-03-26 20:01:04,-24.7117,33.8828,68.14,97,97,3.15
175,Kongoussi,BF,2022-03-26 20:01:05,13.3258,-1.5347,92.5,10,7,5.75
176,Marrakesh,MA,2022-03-26 20:01:06,31.6315,-8.0083,64.47,55,1,6.91
177,Ntungamo,UG,2022-03-26 20:01:06,-0.8833,29.65,64.71,94,87,4.47
178,Vuktyl,RU,2022-03-26 20:02:06,63.8567,57.3094,22.39,92,100,10.65
179,Road Town,VG,2022-03-26 20:02:07,18.4167,-64.6167,79.0,75,75,12.33
180,Waddan,LY,2022-03-26 20:02:07,29.1614,16.139,63.52,13,0,17.63
181,Tiznit,MA,2022-03-26 20:02:07,29.5833,-9.5,59.23,63,0,4.7
182,Agara,GE,2022-03-26 20:02:07,42.0376,43.8238,33.46,89,78,6.06
183,Mehamn,NO,2022-03-26 20:02:08,71.0357,27.8492,23.7,67,100,24.34
184,Sao Filipe,CV,2022-03-26 20:02:08,14.8961,-24.4956,70.47,75,72,12.08
185,Serro,BR,2022-03-26 20:02:08,-18.6047,-43.3794,78.75,69,63,2.33
186,Dubrovytsya,UA,2022-03-26 20:02:09,51.5744,26.565,38.93,54,7,20.76
187,Kongolo,CD,2022-03-26 20:02:09,-5.3833,27.0,72.52,93,97,1.19
188,Mogadouro,PT,2022-03-26 20:02:09,41.3403,-6.7119,52.03,65,100,5.46
189,Koster,ZA,2022-03-26 20:02:09,-25.863,26.8976,60.89,68,36,3.62
190,Key Largo,US,2022-03-26 20:00:02,25.0865,-80.4473,79.0,43,0,5.44
191,Gamba,GA,2022-03-26 20:02:10,-2.65,10.0,78.26,90,100,6.85
192,Tombouctou,ML,2022-03-26 20:02:10,20.0,-3.0,85.93,20,18,6.33
193,Hammerfest,NO,2022-03-26 20:02:10,70.6634,23.6821,21.65,86,75,9.22
194,Pangody,RU,2022-03-26 20:02:11,65.85,74.4859,-3.78,100,100,0.16
195,Altamira,BR,2022-03-26 20:02:11,-3.2033,-52.2064,82.71,81,31,3.22
196,Klaksvik,FO,2022-03-26 20:02:11,62.2266,-6.589,47.32,82,100,24.25
197,Holbeach,GB,2022-03-26 20:02:11,52.804,0.0144,49.01,85,37,5.01
198,Atar,MR,2022-03-26 20:02:12,20.5169,-13.0499,80.02,10,5,6.49
199,Malakal,SS,2022-03-26 20:02:12,9.5334,31.6605,86.07,12,60,8.1
200,Imbituba,BR,2022-03-26 20:01:27,-28.24,-48.6703,73.6,66,10,6.02
201,Ouadda,CF,2022-03-26 20:02:12,8.0777,22.4007,80.49,12,100,8.14
202,Kiambu,KE,2022-03-26 20:02:12,-1.1667,36.8333,65.23,88,75,5.75
203,Teguise,ES,2022-03-26 20:02:13,29.0605,-13.564,61.02,72,0,4.61
204,Onguday,RU,2022-03-26 20:02:13,50.75,86.15,16.84,92,100,2.24
205,Beyneu,KZ,2022-03-26 20:02:13,45.3167,55.2,36.68,85,100,14.63
206,Dwarka,IN,2022-03-26 20:02:14,22.2394,68.9678,79.25,67,0,11.39
207,Lodja,CD,2022-03-26 20:02:14,-3.4833,23.4333,75.02,69,100,2.64
208,Ndele,CF,2022-03-26 20:02:14,8.4109,20.6473,81.18,13,27,5.91
209,Carnarvon,AU,2022-03-26 20:02:14,-24.8667,113.6333,76.78,66,50,10.67
210,Mporokoso,ZM,2022-03-26 20:02:15,-9.3727,30.125,62.26,95,87,2.28
211,Belaya Kalitva,RU,2022-03-26 20:02:15,48.17,40.78,42.91,63,46,23.04
212,Sharjah,AE,2022-03-26 20:01:48,25.3573,55.4033,74.71,72,0,7.4
213,Groningen,NL,2022-03-26 20:00:11,53.25,6.75,47.01,92,100,8.05
214,Serenje,ZM,2022-03-26 20:02:15,-13.2325,30.2352,63.48,95,66,2.84
