City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Bull Savanna,JM,17.8868,-77.5902,74.39,72,2,2.39,clear sky
204,Jalu,LY,29.0331,21.5482,59.74,60,43,8.05,scattered clouds
205,Zhanakorgan,KZ,43.9098,67.2495,32.74,52,0,7.54,clear sky
206,Amapa,BR,1.0,-52.0,72.14,99,100,2.17,overcast clouds
207,Bonavista,CA,48.6499,-53.1147,31.14,99,100,15.9,snow
208,Paralimni,CY,35.0375,33.9833,58.14,66,0,11.99,clear sky
209,Bagotville,AU,-28.9833,153.4167,75.22,99,86,18.61,overcast clouds
210,Tocopilla,CL,-22.092,-70.1979,68.29,73,13,9.04,few clouds
211,Marsa Matruh,EG,31.3525,27.2453,55.6,82,0,8.05,clear sky
212,Shieli,KZ,44.1667,66.75,32.43,45,0,6.8,clear sky
213,Olafsvik,IS,64.8945,-23.7142,36.57,78,91,6.85,overcast clouds
214,Shirpur,IN,21.35,74.8833,79.03,33,5,7.45,clear sky
215,Sawakin,SD,19.1059,37.3321,72.81,88,1,4.88,clear sky
216,Zambezi,ZM,-13.5432,23.1047,63.07,98,95,4.23,light rain
217,Ibra,OM,22.6906,58.5334,71.47,39,0,1.83,clear sky
218,Peterhead,GB,57.5058,-1.7981,34.2,62,100,15.84,overcast clouds
219,Nobres,BR,-14.7203,-56.3275,74.8,92,84,2.46,broken clouds
220,Christchurch,NZ,-43.5333,172.6333,68.95,81,100,10.36,heavy intensity drizzle
221,Morros,BR,-9.4467,-46.3003,72.93,88,100,2.06,overcast clouds
222,Tartagal,AR,-22.5164,-63.8013,80.62,56,0,3.58,clear sky
223,Torbay,CA,47.6666,-52.7314,32.76,96,100,9.22,light snow
224,Codajas,BR,-3.8367,-62.0569,72.63,99,100,3.62,light rain
225,Usinsk,RU,65.9939,57.5281,-5.39,100,100,5.08,overcast clouds
226,Amarpatan,IN,24.3167,80.9833,77.11,14,79,2.86,broken clouds
227,Victoria,HK,22.2855,114.1577,74.25,78,100,8.99,overcast clouds
228,Tombouctou,ML,20.0,-3.0,83.95,7,15,7.65,few clouds
229,Cap Malheureux,MU,-19.9842,57.6142,75.47,77,0,4.0,clear sky
230,Faya,SA,18.3851,42.4509,53.71,27,0,3.69,clear sky
231,Igrim,RU,63.1906,64.4162,7.07,98,100,0.58,overcast clouds
232,Timbiqui,CO,2.7717,-77.6654,75.72,89,60,1.05,broken clouds
233,Abu Dhabi,AE,24.4667,54.3667,68.97,76,0,5.75,clear sky
234,Bara,NG,10.3744,10.7288,72.14,12,13,6.22,few clouds
235,Camacha,PT,33.0833,-16.3333,58.42,77,40,17.27,scattered clouds
236,Hisor,TJ,38.525,68.5512,42.55,60,0,1.07,clear sky
237,Coquimbo,CL,-29.9533,-71.3436,58.73,88,0,3.44,clear sky
238,Nuqui,CO,5.7125,-77.2708,77.77,89,100,2.06,overcast clouds
239,Ratlam,IN,23.3167,75.0667,73.9,28,35,7.2,scattered clouds
240,Kromy,RU,52.6876,35.7667,32.83,92,100,6.24,overcast clouds
241,Nizhniy Odes,RU,63.6445,54.856,2.66,97,100,2.68,overcast clouds
242,Rubtsovsk,RU,51.5,81.25,28.31,73,99,21.77,overcast clouds
243,Rio Gallegos,AR,-51.6226,-69.2181,42.85,75,0,11.5,clear sky
244,Bubaque,GW,11.2833,-15.8333,76.24,76,9,14.32,clear sky
245,Nata,PA,8.3333,-80.5167,84.07,80,98,10.45,overcast clouds
246,Ostersund,SE,63.1792,14.6357,21.61,79,65,11.5,broken clouds
247,Tiznit,MA,29.5833,-9.5,53.65,85,83,10.13,broken clouds
248,Louis Trichardt,ZA,-23.0439,29.9032,58.55,82,24,1.16,few clouds
249,Tambacounda,SN,13.7539,-13.7586,88.9,24,4,13.31,clear sky
250,Nueve De Julio,AR,-35.4444,-60.8831,54.18,29,0,13.27,clear sky
251,Sorland,NO,67.667,12.6934,34.61,63,100,29.95,light snow
252,Oyem,GA,1.5995,11.5793,67.23,95,58,2.21,broken clouds
253,Gazojak,TM,41.1875,61.4036,36.43,34,0,10.22,clear sky
254,Wilmington,US,34.2257,-77.9447,48.11,61,0,3.44,clear sky
255,Boueni,YT,-12.9025,45.0761,80.58,74,89,8.39,light rain
256,Aneho,TG,6.2333,1.6,82.6,81,16,10.0,few clouds
257,Culpeper,US,38.5004,-77.9664,37.76,54,0,0.0,clear sky
258,Manavgat,TR,36.7867,31.4431,54.59,50,0,5.66,clear sky
259,Mitu,CO,1.1983,-70.1733,70.83,98,100,1.21,overcast clouds
260,Tsabong,BW,-26.0217,22.401,70.56,36,0,13.91,clear sky
261,Pedra Azul,BR,-16.0053,-41.2972,66.96,92,4,3.83,clear sky
262,Tselinnoye,RU,53.0833,85.6667,31.78,77,100,21.63,overcast clouds
263,Daphne,US,30.6035,-87.9036,71.58,72,75,9.22,broken clouds
264,Bayshore Gardens,US,27.4253,-82.5904,76.08,62,0,0.0,clear sky
265,Sanski Most,BA,44.7653,16.6656,45.37,86,75,5.5,broken clouds
266,Oriximina,BR,-1.7656,-55.8661,73.96,96,89,1.99,light rain
267,Suluq,LY,31.6682,20.2521,55.08,84,71,5.35,broken clouds
268,Hashtrud,IR,37.4779,47.0508,40.44,54,97,2.06,overcast clouds
269,Lake City,US,30.1897,-82.6393,69.85,68,0,5.75,clear sky
270,Pallisa,UG,1.145,33.7094,65.66,95,78,4.79,moderate rain
271,Ventspils,LV,57.3894,21.5606,19.33,93,0,2.3,clear sky
272,Araguacu,BR,-12.9306,-49.8264,72.75,93,100,2.95,light rain
273,Yenagoa,NG,4.9247,6.2642,78.01,93,60,2.68,broken clouds
274,Kathmandu,NP,27.7167,85.3167,64.62,94,75,3.44,drizzle
275,Varhaug,NO,58.6147,5.6457,33.48,59,97,6.98,overcast clouds
276,Sokolo,ML,14.7328,-6.1219,84.97,11,67,7.85,broken clouds
277,Belmonte,BR,-15.8631,-38.8828,76.28,80,8,3.6,clear sky
278,Aulum,DK,56.2649,8.787,30.74,90,12,6.13,few clouds
279,Senador Jose Porfirio,BR,-2.5908,-51.9542,73.49,97,100,2.68,light rain
280,Cascais,PT,38.6979,-9.4215,57.94,72,0,28.99,clear sky
281,Knysna,ZA,-34.0363,23.0471,64.8,88,100,1.74,overcast clouds
282,Salto,UY,-31.3833,-57.9667,78.85,95,100,18.01,overcast clouds
283,Chikwawa,MW,-16.0335,34.8009,67.87,98,41,1.05,scattered clouds
284,Quelimane,MZ,-17.8786,36.8883,71.82,86,99,3.74,overcast clouds
285,Bonthe,SL,7.5264,-12.505,77.81,84,21,5.48,few clouds
286,Chirongui,YT,-12.9319,45.1483,80.53,72,89,8.63,light rain
287,Pitimbu,BR,-7.4706,-34.8086,79.39,80,100,8.88,overcast clouds
288,Duvan,RU,55.695,57.9024,31.26,91,99,16.06,light snow
289,Bhadrak,IN,21.0633,86.5054,83.12,70,96,10.76,overcast clouds
290,Benguela,AO,-12.5763,13.4055,74.08,82,73,4.09,broken clouds
291,Keflavik,IS,64.0049,-22.5624,36.03,80,75,20.71,broken clouds
292,Mumford,GH,5.2618,-0.759,80.35,86,13,7.07,few clouds
293,Parrita,CR,9.5201,-84.3225,80.26,80,99,1.3,overcast clouds
294,Stuttgart,DE,48.7823,9.177,50.05,69,0,5.75,clear sky
295,Cumra,TR,37.5732,32.7745,39.34,87,8,2.1,clear sky
296,Aswan,EG,24.0934,32.907,67.3,22,0,11.5,clear sky
297,Kitob,UZ,39.0843,66.8332,42.37,50,0,2.28,clear sky
298,Saint Anthony,US,45.0205,-93.218,39.92,46,100,17.27,mist
299,Heubach,DE,48.7927,9.9337,49.68,70,100,2.93,overcast clouds
300,Hurghada,EG,27.2574,33.8129,68.04,24,0,16.11,clear sky
301,Bosaso,SO,11.2842,49.1816,75.22,74,0,3.36,clear sky
302,Roura,GF,4.7263,-52.3274,79.97,78,40,4.61,scattered clouds
303,Bombay,IN,19.0144,72.8479,80.58,83,0,0.0,haze
304,Antanifotsy,MG,-19.65,47.3167,55.83,95,88,3.89,overcast clouds
305,Narwar,IN,25.65,77.9,81.45,15,0,1.41,clear sky
306,Korla,CN,41.7597,86.1469,44.71,69,99,15.55,overcast clouds
307,Soverato,IT,38.685,16.5499,56.16,75,100,2.86,overcast clouds
308,Saint-Leu,RE,-21.15,55.2833,76.06,85,100,14.18,light rain
309,Port-Cartier,CA,50.0334,-66.8654,30.42,74,100,18.52,overcast clouds
310,Malaga,ES,36.7202,-4.4203,59.74,87,75,3.44,broken clouds
311,Bay City,US,43.5945,-83.8889,35.6,73,100,9.22,overcast clouds
312,Rio Grande,BR,-32.035,-52.0986,71.94,85,45,10.38,scattered clouds
313,Rundu,NA,-17.9333,19.7667,63.88,86,8,5.46,clear sky
314,San Carlos,VE,9.6612,-68.5827,84.4,45,92,2.48,overcast clouds
315,Khakhea,BW,-24.6895,23.494,66.52,49,4,14.65,clear sky
316,Mpanda,TZ,-6.3655,31.0409,63.46,99,95,1.23,light rain
317,Nchelenge,ZM,-9.3451,28.734,67.6,91,95,3.44,moderate rain
318,Voi,KE,-3.3945,38.563,72.64,87,97,2.33,light rain
319,Awjilah,LY,29.1081,21.2869,58.48,64,36,7.63,scattered clouds
320,Muros,ES,42.7762,-9.0603,53.28,72,86,9.15,overcast clouds
321,Lagoa,PT,39.05,-27.9833,60.22,94,100,8.88,overcast clouds
322,Rocha,UY,-34.4833,-54.3333,64.22,94,100,18.7,overcast clouds
323,Svetlyy,RU,54.675,20.1347,32.97,72,100,8.84,overcast clouds
324,Olinda,BR,-8.0089,-34.8553,82.13,78,40,9.22,scattered clouds
325,Saint-Joseph,RE,-21.3667,55.6167,75.58,85,100,16.22,moderate rain
326,Caravelas,BR,-17.7125,-39.2481,75.61,83,10,3.91,clear sky
327,Chandbali,IN,20.7833,86.7667,83.3,71,98,13.58,overcast clouds
328,Ilabaya,PE,-17.4208,-70.5133,66.7,66,5,1.39,clear sky
329,Santa Cruz,BO,-17.8,-63.1667,78.26,89,33,6.91,scattered clouds
330,Batticaloa,LK,7.7102,81.6924,79.52,82,9,4.92,clear sky
331,Waddan,LY,29.1614,16.139,61.92,44,9,9.73,clear sky
332,Skibbereen,IE,51.55,-9.2667,44.31,75,75,4.41,broken clouds
333,Dhidhdhoo,MV,6.8833,73.1,82.08,74,4,2.04,clear sky
334,Walvis Bay,NA,-22.9575,14.5053,58.08,81,1,11.27,clear sky
335,Geesthacht,DE,53.4333,10.3667,39.11,76,100,3.47,overcast clouds
336,Boa Vista,BR,2.8197,-60.6733,82.38,61,40,5.75,scattered clouds
337,Cassilandia,BR,-19.1133,-51.7342,72.97,76,3,2.71,clear sky
338,Iqaluit,CA,63.7506,-68.5145,26.33,100,100,3.44,light snow
339,Ericeira,PT,38.9627,-9.4156,57.78,83,9,21.05,clear sky
340,Aripuana,BR,-9.1667,-60.6333,73.2,99,100,3.22,overcast clouds
341,Sonqor,IR,34.7837,47.6004,41.22,34,0,2.75,clear sky
342,Novoselytsya,UA,48.2193,26.2653,47.17,81,100,5.86,overcast clouds
343,Marsh Harbour,BS,26.5412,-77.0636,74.61,66,0,7.61,clear sky
344,Halifax,CA,44.6453,-63.5724,31.89,71,40,12.66,scattered clouds
345,Muzhi,RU,65.3667,64.6667,5.4,97,100,2.15,overcast clouds
346,Bunia,CD,1.5667,30.25,62.37,96,100,3.4,overcast clouds
