City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
643,Mamallapuram,IN,84.25,clear sky,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
644,Japura,ID,81.95,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
646,Tabuk,PH,84.4,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
648,Arboletes,CO,78.58,overcast clouds,8.8505,-76.4269,Hotel Playa Star
649,Necocli,CO,76.82,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
651,Anton,PA,83.82,few clouds,8.4,-80.2667,Las Catalinas
655,Moa,CU,75.06,few clouds,20.6569,-74.9403,Carmen
657,Gwadar,PK,77.05,clear sky,25.1216,62.3254,Sadaf Resort
658,Isabela,PH,84.25,clear sky,6.7085,121.9711,Isawad Resort
661,Xapuri,BR,73.24,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
667,Trairi,BR,75.6,light rain,-3.2778,-39.2689,janelas do mar
669,Guanica,PR,74.19,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
670,Meulaboh,ID,81.19,overcast clouds,4.1363,96.1285,Kost Pria
672,Miraflores,MX,74.05,clear sky,19.2167,-98.8083,Hotel Mansión
679,Sao Francisco,BR,71.38,light rain,-15.9486,-44.8644,Pousada Peixe Vivo
686,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
688,Cabedelo,BR,79.47,moderate rain,-6.9811,-34.8339,Hotel Pigalle
692,Miracema Do Tocantins,BR,72.7,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
694,Port-Gentil,GA,79.36,broken clouds,-0.7193,8.7815,Fengshui Residence
695,Inhambane,MZ,73.47,scattered clouds,-23.865,35.3833,Oceano
